============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> Gold+Epoxy+Aluminium( 164. um) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,9330988E+06 -  4704467E-08  ,5139E+04 -,1884E+02  -,0446323  ,9990034 -,0002973
B    2  1 ,8648414E+06 -  1931933E-08  ,1060E+05 -,6825E+03  -,0895977  ,9901567 -,1075265
B    3  1 ,2234065E+06 -  2509193E-07  ,5388E+05 -,2692E+04  -,3273741  ,9252789 -,1915336
B    5  1 ,8908316E+06 -  2426855E-08  ,8460E+04 -,9748E+00  -,0281199  ,9982495 -,0520314
B    7  1 ,9185492E+06 -  9372593E-08  ,6186E+04 -,1256E+02  -,0441604  ,9987938 -,0214659
B    8  1 ,8200089E+06 -  1103788E-07  ,1373E+05 -,2485E+03  -,1494919  ,9681972  ,2006149
B    9  1 ,9228891E+06 -  7368146E-08  ,6198E+04  ,1401E+03  -,0637683  ,9977913  ,0186031
B   11  1 ,9592469E+06 -  3901228E-08  ,2837E+04  ,3925E+02  -,0704530  ,9947333  ,0744452
B   12  1 ,7340186E+06 -  8022358E-08  ,2480E+05  ,8715E+03  -,1337376  ,9845531  ,1130019
B   13  1 ,7507946E+06 -  8314490E-08  ,1927E+05 -,4171E+03  -,0326514  ,9994309 -,0084737
B   15  1 ,8729583E+06 -  1434607E-07  ,1230E+05 -,1734E+03  -,3185043  ,9448378 -,0763977
B   16  1 ,9607995E+06 -  8552813E-08  ,2508E+04 -,2724E+02  -,0385714  ,9992345 -,0065354
B   17  1 ,9510891E+06 -  2122199E-08  ,4497E+04  ,4951E+03  -,0164829  ,9682669  ,2493743
B   18  1 ,2735440E+06 -  1307010E-07  ,4281E+05  ,1133E+05  -,1341116  ,1872336  ,9731175
B   21  1 ,7747676E+06 -  2015578E-08  ,1914E+05 -,8603E+02  -,0600320  ,9961875 -,0632984
B   22  1 ,9037911E+06 -  2703133E-09  ,9721E+04 -,1846E+03  -,0079398  ,9998771 -,0135193
B   23  1 ,8631827E+06 -  4387547E-07  ,1116E+05 -,4560E+03  -,2273122  ,9624752 -,1482251
B   24  1 ,4763277E+06 -  1680337E-07  ,3538E+05  ,3192E+03  -,1048037  ,9847839 -,1386252
B   27  1 ,9556336E+06 -  6916447E-08  ,3984E+04  ,7144E+01  -,0586109  ,9982416 -,0088632
B   28  1 ,9552828E+06 -  5798185E-09  ,3828E+04  ,5370E+02  -,0145571  ,9995575  ,0259411
B   31  1 ,9107572E+06 -  9339135E-08  ,7356E+04  ,1799E+03  -,0530524  ,9976263  ,0439006
B   32  1 ,8597262E+06 -  2400161E-09  ,1302E+05 -,4457E+03  -,0435578  ,9956109 -,0828348
B   34  1 ,9186732E+06 -  9389097E-08  ,6747E+04 -,9336E+02  -,0369873  ,9986805 -,0356265
B   36  1 ,7386157E+06 -  3259508E-07  ,1984E+05 -,6655E+03  -,1317243  ,9895991 -,0578125
B   38  1 ,8974306E+06 -  4582526E-08  ,7987E+04  ,3111E+03  -,0973981  ,9924935  ,0739617
B   39  1 ,8874397E+06 -  1207838E-07  ,8857E+04 -,9745E+02  -,0515678  ,9984537 -,0207588
B   40  1 ,9354214E+06 -  7509929E-08  ,4376E+04 -,1993E+02  -,0474928  ,9984830 -,0278585
B   41  1 ,7885909E+06 -  1176671E-07  ,1619E+05  ,8873E+02  -,1105092  ,9937133 -,0179340
B   42  1 ,8726450E+06 -  2391763E-08  ,1116E+05  ,7642E+03  -,0329065  ,9833211  ,1788766
B   43  1 ,6881095E+06 -  3874315E-07  ,2388E+05 -,7682E+03  -,2132375  ,9474858 -,2383285
B   44  1 ,7449035E+06 -  4101776E-07  ,2028E+05  ,1125E+04  -,2939172  ,9358518  ,1944072
B   47  1 ,7370322E+06 -  1202299E-07  ,1871E+05  ,5125E+04  -,0813347  ,7508457  ,6554506
B   48  1 ,1507362E+06 -  8999436E-07  ,5808E+05 -,5371E+04  -,3532467  ,9036193 -,2422581
B   49  1 ,7387045E+06 -  1164205E-07  ,2221E+05  ,3720E+03  -,1260166  ,9911434 -,0418876
B   50  1 ,9085108E+06 -  2690196E-07  ,7424E+04  ,2845E+02  -,1368103  ,9901414  ,0300505
B   51  1 ,6361110E+06 -  1635923E-07  ,2847E+05 -,2835E+04  -,0745216  ,9911362 -,1099800
B   52  1 ,5043571E+06 -  5743483E-08  ,3556E+05 -,1856E+04  -,0935535  ,9502721 -,2970366
B   54  1 ,5786079E+06 -  1484004E-07  ,3128E+05  ,7439E+03  -,1204964  ,9726667  ,1984946
B   55  1 ,9418429E+06 -  7002948E-09  ,5917E+04 -,2154E+01  -,0221808  ,9992750 -,0309437
B   56  1 ,5201024E+06 -  4372050E-07  ,3811E+05 -,1994E+04  -,2385944  ,9711193 -,0001023
B   57  1 ,7573932E+06 -  4244017E-08  ,2136E+05  ,1655E+04  -,0311098  ,9889283  ,1450963
B   58  1 ,8177331E+06 -  2375511E-08  ,1633E+05 -,2643E+03  -,0917480  ,9954232 -,0267374
B   59  1 ,9628114E+06 -  3037252E-08  ,3292E+04 -,8692E+01  -,0192780  ,9997047 -,0147939
B   60  1 ,6452201E+06 -  1530625E-07  ,2673E+05  ,1531E+04  -,0653074  ,9936939  ,0911444
B   66  1 ,9427341E+06 -  7747857E-08  ,6037E+04 -,2157E+03  -,0421359  ,9976469 -,0540855
B   67  1 ,9448457E+06 -  4894509E-08  ,4925E+04  ,1170E+01  -,0667819  ,9973604  ,0285038
B   68  1 ,7060808E+06 -  2613192E-08  ,2342E+05  ,3548E+04  -,1685428  ,9597233  ,2247766
B   69  1 ,9389265E+06 -  7583942E-07  ,5419E+04  ,1647E+03  -,3230347  ,7142058  ,6209337
B   70  1 ,1833659E+06 -  5236386E-07  ,5200E+05 -,1153E+05  -,3262349  ,8205425 -,4693409
B   71  1 ,9219717E+06 -  4688953E-08  ,6289E+04 -,8598E+02  -,0221372  ,9908416 -,1332021
B   75  1 ,5344432E+06 -  1745079E-08  ,3311E+05 -,8296E+04  -,1315207  ,9188406 -,3720676
B   76  1 ,5984195E+06 -  1542022E-07  ,2980E+05 -,2161E+04  -,0732012  ,9844001 -,1599940
B   78  1 ,3901612E+06 -  2767207E-07  ,4433E+05 -,5894E+04  -,1789549  ,5928549 -,7851740
B   79  1 ,8482740E+06 -  9008559E-08  ,1308E+05  ,2940E+03  -,0564840  ,9980250 -,0274894
B   80  1 ,4954600E+06 -  6547932E-08  ,3634E+05  ,1369E+04  -,2963983  ,9506921  ,0912832
B   81  1 ,8759235E+06 -  1671654E-07  ,1149E+05 -,6979E+01  -,1659009  ,9816191  ,0943440
B   83  1 ,8984693E+06 -  4215296E-08  ,7245E+04 -,9094E+02  -,0178368  ,9984998 -,0517684
B   85  1 ,5895768E+06 -  1683712E-07  ,3060E+05 -,2141E+04  -,1719491  ,9840983 -,0445429
B   86  1 ,8740603E+06 -  9038462E-08  ,1004E+05  ,2798E+03  -,0582901  ,9976059  ,0372127
B   88  1 ,9254424E+06 -  3601331E-08  ,6019E+04 -,1541E+03  -,0223653  ,9993501 -,0282690
B   89  1 ,5040440E+06 -  1225310E-07  ,3495E+05  ,2900E+04  -,1508671  ,9470400  ,2834685
B   90  1 ,9231853E+06 -  8757576E-09  ,6996E+04  ,1582E+03  -,0131905  ,9992326  ,0368803
B   92  1 ,9663100E+06 -  7005368E-08  ,2502E+04  ,6426E+02  -,0519024  ,9975584  ,0467259
B   93  1 ,6098992E+06 -  9232166E-08  ,3172E+05 -,2177E+04  -,0395922  ,9849122 -,1684649
B   94  1 ,7194437E+06 -  1369771E-07  ,2213E+05 -,8386E+03  -,0657106  ,9798347 -,1886956
B   96  1 ,2809014E+06 -  6777058E-07  ,4759E+05 -,6671E+04  -,3346577  ,8766725 -,3456147
B   97  1 ,7045393E+06 -  1215708E-07  ,2303E+05  ,4402E+03  -,0606373  ,9980632  ,0138894
B   98  1 ,8909007E+06 -  1932217E-07  ,1028E+05 -,5920E+03  -,0805147  ,9928885 -,0876918
B  100  1 ,9028936E+06 -  8213939E-08  ,7212E+04 -,1219E+03  -,1006241  ,9941918 -,0381766
B  102  1 ,7137781E+06 -  2903915E-07  ,2051E+05 -,7285E+02  -,1394624  ,9900831 -,0168997
B  103  1 ,4218916E+06 -  1978758E-07  ,4217E+05  ,2367E+04  -,2676549  ,9471554  ,1767978
B  105  1 ,7259975E+06 -  1897017E-08  ,2168E+05  ,1039E+04  -,0741420  ,9971561  ,0135147
B  111  1 ,8931617E+06 -  3259087E-08  ,9458E+04  ,5317E+02  -,0161938  ,9993374  ,0325953
B  112  1 ,9192007E+06 -  8294570E-09  ,6239E+04  ,2939E+02  -,0399545  ,9984642 -,0383784
B  113  1 ,9422218E+06 -  8331746E-08  ,5699E+04 -,1012E+03  -,0643805  ,9975762 -,0263982
B  119  1 ,9691917E+06 -  1688014E-08  ,2288E+04 -,7252E+02  -,0164083  ,9977344 -,0652450
B  120  1 ,7669050E+06 -  8884039E-08  ,1866E+05 -,4083E+03  -,0684177  ,9966155  ,0455685
B  121  1 ,8860627E+06 -  1980675E-08  ,9741E+04 -,2136E+02  -,0748564  ,9965887 -,0347477
B  122  1 ,3859871E+06 -  1091609E-06  ,4477E+05 -,1236E+04  -,8407098  ,5259822  ,1286454
B  124  1 ,7451174E+06 -  2225286E-07  ,2238E+05  ,4335E+03  -,0981547  ,9833969  ,1526309
B  125  1 ,9820413E+06 -  2744553E-08  ,1576E+04 -,5342E+00  -,0319895  ,9989234 -,0335963
B  127  1 ,9078620E+06 -  3692723E-08  ,6666E+04 -,9926E+02  -,0181846  ,9984514 -,0525744
B  128  1 ,9521659E+06 -  1270635E-07  ,4819E+04  ,2700E+02  -,0562935  ,9972728  ,0477285
B  132  1 ,8722756E+06 -  2895691E-08  ,1159E+05  ,4082E+03  -,0321762  ,9993982  ,0129566
B  134  1 ,9023215E+06 -  2960871E-08  ,7542E+04  ,5224E+02  -,0292124  ,9995499  ,0068320
B  136  1 ,9074368E+06 -  3462201E-08  ,8615E+04 -,1125E+03  -,0168949  ,9972708 -,0718719
B  137  1 ,3004639E+06 -  4081546E-07  ,4750E+05  ,3128E+04  -,3354483  ,9366409  ,1008871
B  140  1 ,8375668E+06 -  4545421E-08  ,1213E+05 -,4867E+03  -,0285099  ,9955042 -,0903245
B  143  1 ,5800287E+06 -  4726860E-07  ,3055E+05  ,3464E+04  -,2039812  ,9608722  ,1873932
B  146  1 ,9549275E+06 -  1143475E-07  ,3424E+04  ,5297E+02  -,0481470  ,9982851  ,0332967
B  147  1 ,9283917E+06 -  5801662E-09  ,5863E+04  ,6419E+02  -,0088257  ,9997870 -,0186554
B  148  1 ,8971963E+06 -  4228240E-08  ,1097E+05  ,7989E+01  -,0188746  ,9993181  ,0317348
B  149  1 ,9404301E+06 -  4020000E-09  ,5217E+04  ,4744E+02  -,0479377  ,9986749 -,0187173
B  151  1 ,8987650E+06 -  6174223E-08  ,8767E+04  ,6229E+01  -,0279029  ,9995163  ,0137312
B  152  1 ,7774979E+06 -  1213354E-07  ,1805E+05  ,8019E+03  -,0764077  ,9959223  ,0479659
B  153  1 ,4602963E+06 -  3273297E-07  ,3811E+05  ,2586E+03  -,1361911  ,9906826  ,0002126
B  154  1 ,2913273E+06 -  5068897E-07  ,4613E+05 -,8119E+04  -,2541476  ,9514335 -,1737332
B  155  1 ,5990626E+06 -  1767588E-07  ,3119E+05  ,2070E+04  -,0967042  ,9930706  ,0667767
B  156  1 ,9070303E+06 -  6028409E-08  ,7514E+04 -,1625E+03  -,0241708  ,9992883 -,0289594
B  157  1 ,7369280E+06 -  8719631E-08  ,2048E+05 -,8949E+03  -,0478484  ,9915198 -,1208265
B  158  1 ,8243016E+06 -  3627684E-07  ,1335E+05 -,6364E+03  -,1535733  ,9779966 -,1412014
B  159  1 ,6097131E+06 -  2382325E-08  ,2883E+05  ,2407E+04  -,1140341  ,9918897  ,0561340
B  161  1 ,8647768E+06 -  2901375E-07  ,9655E+04 -,3952E+03  -,1379689  ,9618790 -,2361215
B  162  1 ,9897350E+06 -  7229039E-08  ,8427E+03  ,5657E+01  -,0359699  ,9991591  ,0196809
B  163  1 ,9578947E+06 -  9384880E-08  ,3433E+04  ,3889E+02  -,0471750  ,9988717  ,0054556
B  168  1 ,9315404E+06 -  2018623E-08  ,5471E+04  ,2560E+02  -,0199379  ,9997641  ,0086125
B  170  1 ,9815545E+06 -  1436233E-09  ,1914E+04  ,1399E+02  -,0362681  ,9990024  ,0260543
B  171  1 ,7180062E+06 -  6987968E-08  ,2193E+05  ,4836E+03  -,0788498  ,9945074  ,0688316
B  172  1 ,7558280E+06 -  1432145E-07  ,1881E+05  ,1420E+02  -,2590740  ,9644154  ,0527595
B  177  1 ,9215690E+06 -  8770397E-08  ,5969E+04  ,2636E+02  -,0456004  ,9988596 -,0141426
B  178  1 ,9105324E+06 -  8986553E-08  ,7825E+04 -,1512E+03  -,0382925  ,9991854 -,0127346
