============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> Gold+Epoxy+Aluminium( 1519 km) ==============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,9330988E+06 -  4704467E-08  ,5139E+04 -,1884E+02  -,0446323  ,9990034 -,0002973
B    2  1 ,8648414E+06 -  1931933E-08  ,1060E+05 -,6825E+03  -,0895977  ,9901567 -,1075265
B    3  1 ,2234065E+06 -  2509193E-07  ,5388E+05 -,2692E+04  -,3273741  ,9252789 -,1915336
B    5  1 ,9342577E+06 -  2000133E-07  ,5893E+04 -,6049E+02  -,1216972  ,9925609 -,0035529
B    7  1 ,6757086E+06 -  1026691E-07  ,2673E+05  ,2149E+03  -,0674420  ,9922386  ,1044712
B    8  1 ,8020204E+06 -  1353810E-07  ,1433E+05 -,2121E+03  -,0811392  ,9963889 -,0250122
B    9  1 ,1155781E+06 -  4500775E-07  ,5651E+05  ,1647E+04  -,2982259  ,9294229 -,2173350
B   12  1 ,7462179E+06 -  6897877E-08  ,2016E+05 -,3967E+03  -,0320620  ,9979420 -,0555313
B   13  1 ,9129334E+06 -  1198947E-07  ,6147E+04  ,3639E+02  -,0515406  ,9985127  ,0177768
B   14  1 ,9189178E+06 -  1802665E-07  ,7175E+04 -,2474E+02  -,0740947  ,9879789  ,1356746
B   15  1 ,6684781E+05 -  8216162E-08  ,5644E+05 -,6347E+04  -,5659462  ,1731562 -,8060533
B   17  1 ,9734196E+06 -  2214797E-08  ,1911E+04 -,1756E+02  -,0104271  ,9996222 -,0254314
B   18  1 ,9544195E+06 -  6271310E-08  ,5236E+04  ,1120E+03  -,0489673  ,9987965 -,0027938
B   19  1 ,6762341E+05 -  9316096E-08  ,5915E+05  ,1458E+04  -,1889199  ,9007742  ,3910437
B   20  1 ,7680529E+06 -  6276274E-08  ,1810E+05 -,2202E+03  -,0392002  ,9988040  ,0292222
B   21  1 ,7916183E+06 -  3359160E-07  ,1603E+05  ,2366E+02  -,1461804  ,9882468 -,0447169
B   23  1 ,8338961E+06 -  3192315E-08  ,1445E+05 -,4548E+02  -,0444707  ,9972793  ,0587905
B   24  1 ,8493420E+06 -  1391547E-07  ,1118E+05  ,3672E+02  -,0946235  ,9950244 -,0311889
B   25  1 ,6671534E+06 -  4330591E-08  ,2493E+05  ,1837E+04  -,1035276  ,9713505  ,2139167
B   26  1 ,9405723E+06 -  2763362E-07  ,4591E+04 -,9987E+01  -,1249612  ,9872048 -,0990525
B   28  1 ,6134152E+06 -  1292626E-07  ,2892E+05  ,9443E+03  -,0534259  ,9984853  ,0131462
B   29  1 ,7953895E+06 -  2688620E-08  ,1775E+05 -,1372E+04  -,0306679  ,9949878 -,0951775
B   32  1 ,9127677E+06 -  1778063E-08  ,8456E+04 -,5251E+02  -,0738483  ,9972294  ,0089379
B   33  1 ,9332221E+06 -  2562664E-09  ,6154E+04 -,8371E+02  -,0395234  ,9990936 -,0158057
B   34  1 ,6908117E+06 -  1841206E-07  ,2655E+05  ,1615E+04  -,2137381  ,9730468  ,0865793
B   35  1 ,7671939E+06 -  1223348E-08  ,1695E+05  ,1053E+04  -,0252211  ,9967084  ,0770474
B   36  1 ,2499991E+04 -  1394819E-06  ,6304E+05  ,5347E+04  -,5784072  ,1507567  ,8016967
B   38  1 ,7913990E+06 -  2744676E-08  ,1753E+05  ,2495E+03  -,0216338  ,9987249  ,0456140
B   40  1 ,5516525E+05 -  1075440E-06  ,5964E+05 -,9955E+03  -,6805256  ,6332889  ,3685514
B   41  1 ,9380711E+06 -  7756839E-09  ,5160E+04  ,1127E+03  -,0231905  ,9988159  ,0427675
B   43  1 ,4724178E+06 -  9812867E-08  ,3843E+05  ,8071E+03  -,1450103  ,9878565  ,0557818
B   44  1 ,5071294E+06 -  3196671E-07  ,3799E+05  ,1643E+03  -,2123630  ,9735898  ,0838147
B   48  1 ,9144092E+06 -  1964808E-08  ,7711E+04 -,2676E+02  -,0578687  ,9970084 -,0512401
B   49  1 ,5701733E+06 -  6464577E-07  ,3335E+05 -,3485E+04  -,5259501  ,8504974  ,0055379
B   50  1 ,5043571E+06 -  5743483E-08  ,3556E+05 -,1856E+04  -,0935535  ,9502721 -,2970366
B   52  1 ,8467708E+06 -  8768949E-08  ,1152E+05  ,1813E+03  -,0776750  ,9967014  ,0235131
B   57  1 ,8971082E+06 -  2354281E-08  ,7572E+04  ,1229E+03  -,0204411  ,9995197  ,0232940
B   58  1 ,9340070E+06 -  7080410E-08  ,5688E+04 -,6809E+02  -,0536075  ,9975808  ,0442587
B   60  1 ,9339903E+06 -  8375752E-08  ,6202E+04 -,1152E+03  -,0337945  ,9983153 -,0471640
B   61  1 ,6324959E+06 -  5427911E-07  ,2995E+05 -,3681E+04  -,2795310  ,9364111 -,2121241
B   62  1 ,9375178E+06 -  8054964E-08  ,4540E+04  ,1154E+03  -,0588077  ,9945516  ,0860742
B   63  1 ,9720931E+06 -  2221824E-07  ,3064E+04 -,1705E+02  -,1885780  ,9799546 -,0642447
B   64  1 ,8331925E+06 -  7671524E-08  ,1328E+05 -,2897E+03  -,1151245  ,9556116 -,2712061
B   66  1 ,9211473E+06 -  1708033E-10  ,5778E+04  ,6875E+01  -,0300903  ,9994719  ,0122711
B   67  1 ,7574339E+06 -  3805825E-08  ,2068E+05 -,6192E+03  -,0497991  ,9986762 -,0128792
B   69  1 ,8698154E+06 -  7441900E-08  ,1106E+05  ,4569E+03  -,0394320  ,9941843  ,1002130
B   71  1 ,8127617E+06 -  1986484E-07  ,1456E+05  ,4023E+03  -,1275759  ,9917307  ,0139468
B   72  1 ,6304602E+06 -  1817713E-07  ,2689E+05  ,1588E+04  -,2608453  ,9368111  ,2331195
B   75  1 ,8100806E+06 -  1329690E-07  ,1621E+05 -,4087E+02  -,0864363  ,9947927 -,0540021
B   76  1 ,9031378E+06 -  1078955E-07  ,6908E+04 -,2542E+02  -,0950602  ,9940728  ,0527528
B   79  1 ,9131539E+06 -  3761957E-08  ,6290E+04 -,1232E+03  -,0287410  ,9995771  ,0044327
B   80  1 ,9397532E+06 -  5103513E-08  ,4482E+04 -,1415E+03  -,0377183  ,9992537 -,0083306
B   81  1 ,9125417E+06 -  2671707E-07  ,6738E+04  ,6905E+02  -,1617003  ,9861035 -,0381168
B   82  1 ,9713556E+06 -  6829492E-08  ,2671E+04 -,1764E+02  -,0525592  ,9985432  ,0122106
B   84  1 ,9766490E+06 -  2823699E-07  ,2153E+04 -,1299E+01  -,2606913  ,9654187 -,0026167
B   85  1 ,7244439E+06 -  1248636E-07  ,2111E+05 -,5593E+03  -,0717889  ,9962337 -,0486287
B   86  1 ,9136472E+06 -  2749873E-07  ,7128E+04 -,6136E+02  -,2666477  ,9612084  ,0705510
B   88  1 ,2214297E+06 -  6188034E-07  ,4965E+05  ,3188E+04  -,6311453 -,0747926  ,7720503
B   91  1 ,6920524E+06 -  2374185E-08  ,2489E+05  ,3598E+03  -,0210870  ,9984551 -,0514068
B   92  1 ,8412827E+06 -  1660136E-07  ,1276E+05 -,3637E+03  -,0747339  ,9927720 -,0939078
B   93  1 ,8375481E+06 -  1901394E-07  ,1353E+05 -,2898E+03  -,0746022  ,9953982 -,0601418
B   95  1 ,9818207E+06 -  9001271E-08  ,1742E+04  ,2512E+02  -,0463914  ,9971606  ,0593171
B   96  1 ,8129407E+06 -  2337051E-08  ,1516E+05  ,5713E+03  -,0446955  ,9961800  ,0750179
B   98  1 ,8854701E+06 -  4487510E-08  ,7819E+04  ,1104E+03  -,0480982  ,9988403 -,0021578
B   99  1 ,9653556E+06 -  3110144E-08  ,3081E+04  ,5749E+02  -,0253526  ,9987802  ,0423714
B  100  1 ,8684254E+06 -  2403981E-08  ,1135E+05 -,2364E+02  -,0235854  ,9993791 -,0261759
B  101  1 ,9201767E+06 -  3378017E-08  ,6974E+04  ,4257E+02  -,0658556  ,9963982  ,0534205
B  104  1 ,8065168E+06 -  1168899E-07  ,1632E+05 -,3234E+03  -,0883485  ,9895740  ,1137443
B  106  1 ,6485633E+06 -  9645782E-08  ,2409E+05 -,1116E+04  -,0887546  ,9718644 -,2181792
B  107  1 ,8948620E+06 -  1993919E-07  ,9356E+04 -,9203E+02  -,0861372  ,9935646 -,0735508
B  111  1 ,9861347E+06 -  5942735E-08  ,1262E+04  ,4401E+02  -,0555755  ,9893485  ,1345395
B  112  1 ,7769734E+06 -  8373886E-08  ,1823E+05  ,2959E+03  -,0857813  ,9954911  ,0404857
B  113  1 ,9472087E+06 -  4922382E-08  ,4875E+04 -,2171E+02  -,0336346  ,9991750 -,0227596
B  115  1 ,8133487E+06 -  4292769E-08  ,1473E+05  ,2395E+03  -,1144289  ,9903073  ,0787235
B  116  1 ,9069672E+06 -  1241819E-08  ,7929E+04  ,9879E+02  -,0318555  ,9986137  ,0419039
B  117  1 ,7633730E+06 -  1060974E-07  ,2119E+05 -,4929E+03  -,0591696  ,9895815 -,1312529
B  119  1 ,7851195E+06 -  1517160E-07  ,1805E+05  ,8272E+03  -,0641558  ,9956504  ,0675598
B  120  1 ,9250379E+06 -  1749126E-08  ,7353E+04  ,5985E+02  -,0171424  ,9990964  ,0388908
B  122  1 ,9026474E+06 -  5582148E-10  ,6583E+04 -,6628E+02  -,0085319  ,9995291 -,0294761
B  126  1 ,9333176E+06 -  1093417E-08  ,5598E+04 -,2012E+03  -,0171464  ,9974218 -,0696839
B  127  1 ,9157105E+06 -  2193632E-07  ,8004E+04  ,1649E+03  -,0933712  ,9880129  ,1229323
B  129  1 ,9684166E+06 -  5922197E-08  ,3381E+04  ,6473E+02  -,0408629  ,9979051  ,0501553
B  130  1 ,9534379E+06 -  1269545E-08  ,4306E+04  ,4427E+02  -,0231351  ,9986311  ,0469112
B  131  1 ,7355824E+06 -  3531340E-08  ,1878E+05 -,6847E+03  -,1664326  ,9757553 -,1421331
B  132  1 ,5787102E+06 -  4701872E-07  ,3257E+05  ,1291E+04  -,4978665  ,7959940  ,3442708
B  134  1 ,4289481E+06 -  6049581E-09  ,4120E+05  ,1953E+04  -,1649305  ,9796538  ,1143521
B  135  1 ,4840634E+06 -  7945521E-08  ,3940E+05 -,4939E+02  -,2327716  ,9721807 -,0261162
B  137  1 ,8308801E+06 -  9408047E-09  ,1439E+05 -,6344E+03  -,0710186  ,9697295 -,2336258
B  138  1 ,9079467E+06 -  2097636E-08  ,9265E+04 -,7974E+02  -,0505071  ,9980503 -,0366699
B  141  1 ,8951061E+05 -  1750432E-07  ,5257E+05  ,1580E+05  -,3465131  ,6745485  ,6518535
B  143  1 ,8687814E+06 -  9938489E-08  ,1062E+05  ,1652E+03  -,0665068  ,9975873 -,0199110
B  145  1 ,2698399E+06 -  5394430E-08  ,4925E+05  ,8447E+03  -,0345651  ,9799033 -,1964557
B  146  1 ,8983405E+06 -  1072386E-07  ,9466E+04 -,3791E+03  -,0510512  ,9959689 -,0737551
B  147  1 ,7376191E+06 -  1181421E-07  ,2088E+05 -,1356E+04  -,0523249  ,9929442 -,1064143
B  148  1 ,9393788E+06 -  8434885E-08  ,5172E+04 -,7776E+01  -,0573325  ,9980697 -,0238708
B  150  1 ,8670706E+06 -  9252240E-08  ,1009E+05 -,3976E+02  -,0465312  ,9988906  ,0072405
B  153  1 ,7612563E+06 -  1234296E-07  ,2162E+05  ,3133E+03  -,1675641  ,9832157 -,0721751
B  154  1 ,9040274E+06 -  1264148E-07  ,7131E+04  ,1358E+03  -,0525115  ,9929612  ,1061633
B  155  1 ,9142126E+06 -  1512042E-08  ,7732E+04 -,3015E+03  -,0204494  ,9996884  ,0143182
B  156  1 ,7883718E+06 -  1031891E-08  ,1736E+05 -,5416E+02  -,0077053  ,9991873  ,0395655
B  158  1 ,8957151E+06 -  3581906E-08  ,8151E+04  ,1498E+03  -,0209834  ,9996093  ,0184635
B  160  1 ,6718226E+06 -  2096004E-07  ,2642E+05  ,3812E+03  -,1226779  ,9919220  ,0322628
B  164  1 ,9667891E+06 -  2523770E-08  ,3103E+04 -,6169E+02  -,0402053  ,9977575 -,0535121
B  166  1 ,8279122E+06 -  3626359E-08  ,1640E+05 -,1475E+04  -,1626471  ,9737844 -,1590279
B  167  1 ,8712141E+06 -  1146356E-07  ,1125E+05 -,6742E+03  -,0568208  ,9958856 -,0705916
B  168  1 ,7412412E+06 -  1238547E-07  ,1953E+05 -,1633E+04  -,0822750  ,9892629 -,1207879
B  170  1 ,8925102E+06 -  4583648E-09  ,9822E+04 -,1954E+03  -,0154079  ,9985784 -,0510266
B  171  1 ,9561037E+06 -  4363899E-08  ,3349E+04 -,1167E+02  -,0515602  ,9981698 -,0316006
B  173  1 ,3202079E+05 -  1139324E-06  ,6069E+05  ,4353E+04  -,5848623  ,7940009 -,1658271
B  175  1 ,9311525E+06 -  5115003E-08  ,6518E+04 -,3884E+01  -,0226701  ,9997382 -,0030869
B  176  1 ,9141875E+06 -  5466148E-08  ,7453E+04 -,4733E+02  -,0353250  ,9990405  ,0258868
