============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(200 keV) ==> Gold+nickel( 4.00 mm) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    2  1 ,6200729E+05 -  3032732E-07  ,6700E+04  ,1129E+04  -,1758711  ,8565243  ,4852169
B    4  1 ,2084431E+05 -  6025495E-07  ,7732E+04 -,1789E+04  -,7338798  ,6765800  ,0604973
B    5  1 ,1352291E+06 -  1267529E-07  ,2659E+04 -,2154E+03  -,1198789  ,9673468 -,2233139
B    6  1 ,1532867E+06 -  2532898E-07  ,2035E+04  ,1113E+03  -,3809980  ,9204971  ,0867507
B    8  1 ,1692000E+06 -  2732563E-07  ,1531E+04 -,8124E+01  -,1919138  ,9813383 -,0120066
B   10  1 ,9655443E+05 -  1649413E-08  ,5262E+04 -,1195E+03  -,2503478  ,9533309  ,1687785
B   12  1 ,5501078E+05 -  1008982E-06  ,6544E+04 -,1603E+04  -,4691506  ,7493444 -,4673121
B   14  1 ,1584790E+06 -  2133128E-07  ,2137E+04 -,4349E+02  -,1754103  ,9842083  ,0237762
B   15  1 ,1363088E+06 -  6054925E-08  ,3201E+04  ,1867E+03  -,0802981  ,9961690  ,0346348
B   16  1 ,1438681E+06 -  2469953E-07  ,2629E+04  ,2135E+02  -,1064644  ,9873667 -,1173553
B   17  1 ,1343094E+06 -  1068629E-06  ,2803E+04  ,9862E+03  -,5108366  ,7542033  ,4125813
B   18  1 ,1513353E+06 -  4644535E-08  ,2149E+04 -,2776E+03  -,2117162  ,0511907 -,9759896
B   19  1 ,1168043E+06 -  1572014E-07  ,3734E+04  ,4392E+03  -,0845998  ,9880165  ,1290975
B   20  1 ,1694569E+06 -  1470812E-07  ,1364E+04 -,1841E+02  -,1490310  ,9879438 -,0419148
B   21  1 ,1844275E+06 -  5778841E-07  ,1054E+04  ,2076E+02  -,6429760  ,6342215  ,4293541
B   24  1 ,8276735E+05 -  8274144E-08  ,4971E+04 -,3870E+03  -,1934380  ,8732996 -,4471349
B   25  1 ,8088288E+05 -  1017783E-06  ,5637E+04  ,9812E+03  -,5215552  ,4999968  ,6913635
B   26  1 ,5723410E+05 -  1990144E-06  ,6584E+04  ,4809E+03  -,8237996  ,2897173 -,4872557
B   28  1 ,1269354E+06 -  1266787E-08  ,3086E+04 -,3961E+03  -,1356944  ,9355018 -,3262260
B   30  1 ,1020160E+05 -  8132430E-07  ,7467E+04  ,2304E+04  -,7777570 -,3194026  ,5413650
B   31  1 ,1439258E+06 -  1865250E-08  ,2280E+04 -,9186E+02  -,0930561  ,9887499 -,1171078
B   32  1 ,1380702E+06 -  5010173E-08  ,3145E+04 -,6650E+02  -,1710909  ,9851646 -,0133649
B   33  1 ,1423023E+05 -  6844029E-07  ,7423E+04 -,3545E+03  -,8203841 -,2756607  ,5009802
B   36  1 ,9681720E+05 -  3888775E-07  ,4388E+04  ,1223E+04  -,1637699  ,8317168  ,5304966
B   37  1 ,1771585E+06 -  8236100E-08  ,1266E+04 -,7119E+00  -,0872722  ,9961827  ,0018818
B   38  1 ,1223081E+06 -  4679814E-07  ,3355E+04 -,2653E+03  -,2781903  ,9398396 -,1982718
B   40  1 ,1389634E+06 -  7226301E-08  ,2927E+04  ,3127E+03  -,0766134  ,9607669  ,2665658
B   41  1 ,1064693E+06 -  2977257E-07  ,4601E+04  ,4689E+03  -,4298613  ,8162946 -,3858529
B   42  1 ,1852009E+06 -  3291053E-07  ,6811E+03  ,3309E+01  -,1441805  ,9889044 -,0357789
B   45  1 ,1568232E+06 -  2615125E-07  ,1865E+04  ,2473E+03  -,1072678  ,9614893  ,2530452
B   46  1 ,1743083E+06 -  2402836E-09  ,1502E+04 -,5392E+01  -,0749445  ,9965381  ,0359869
B   48  1 ,1277835E+06 -  5870509E-08  ,3171E+04 -,1224E+03  -,0322819  ,9994267 -,0102098
B   51  1 ,4830228E+05 -  8761599E-07  ,6267E+04  ,8931E+03  -,7535848  ,6279227  ,1944811
B   52  1 ,1695789E+06 -  2034621E-07  ,1313E+04 -,9763E+01  -,2116326  ,9772530 -,0137223
B   60  1 ,1244684E+06 -  1358108E-07  ,3240E+04  ,4431E+03  -,1523856  ,9818561  ,1128594
B   61  1 ,1685457E+06 -  2958944E-08  ,1359E+04  ,2072E+02  -,0728289  ,9954877  ,0608294
B   63  1 ,1053314E+06 -  2235393E-07  ,4238E+04  ,1384E+04  -,1402892  ,8866623  ,4406233
B   65  1 ,1757841E+06 -  5579504E-07  ,1039E+04 -,7891E+01  -,2386565  ,9707692 -,0254975
