============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(500 keV) ==> Gold+nickel( 4.00 mm) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B    1  1 ,4597898E+06 -  1958659E-08  ,2411E+04 -,1134E+02  -,0421784  ,9989988 -,0149125
B    2  1 ,4555395E+06 -  2747192E-07  ,2297E+04  ,2083E+01  -,1717722  ,9842389 -,0420485
B    3  1 ,4504002E+06 -  4561648E-08  ,3211E+04  ,2433E+02  -,0813665  ,9966488 -,0084080
B    5  1 ,3581903E+06 -  8692951E-08  ,9841E+04 -,1180E+03  -,0566669  ,9938845 -,0947764
B    7  1 ,4777801E+06 -  2510108E-08  ,1445E+04 -,2021E+02  -,0213114  ,9983697 -,0529509
B    8  1 ,6311301E+05 -  4228763E-07  ,2238E+05  ,2222E+03  -,2372186  ,9651993 -,1100801
B   10  1 ,4842643E+06 -  3157573E-08  ,7546E+03 -,6290E+01  -,0315601  ,9987391 -,0390407
B   11  1 ,3924080E+06 -  2555547E-07  ,7216E+04  ,4055E+03  -,2764719  ,9550733  ,1067628
B   12  1 ,2034156E+06 -  3178865E-07  ,1423E+05 -,2620E+04  -,4429706  ,8827415  ,1566669
B   13  1 ,4622143E+06 -  1334462E-08  ,2474E+04 -,1108E+02  -,0145984  ,9998837  ,0044105
B   17  1 ,4501733E+06 -  9612335E-08  ,3020E+04  ,4658E+02  -,0490502  ,9985580  ,0218197
B   18  1 ,3777040E+06 -  2797995E-07  ,8031E+04 -,1670E+04  -,1555657  ,9402071 -,3030015
B   19  1 ,3963598E+06 -  1601000E-07  ,6875E+04  ,4408E+03  -,2008246  ,9750365  ,0947275
B   21  1 ,4617423E+06 -  1772674E-08  ,2707E+04 -,5629E+02  -,0209813  ,9970404 -,0739604
B   22  1 ,4379693E+06 -  1384079E-07  ,3045E+04 -,1550E+02  -,0544287  ,9985075 -,0044961
B   23  1 ,1555371E+06 -  2616508E-07  ,1681E+05  ,4474E+03  -,2079240  ,9642871 -,1640673
B   24  1 ,4741438E+06 -  1369347E-07  ,1457E+04 -,2287E+02  -,0554906  ,9967610 -,0582089
B   25  1 ,2809158E+05 -  1882281E-06  ,2341E+05  ,6836E+03  -,8115695 -,2977435  ,5026964
B   26  1 ,3894045E+06 -  2093892E-08  ,6276E+04 -,2768E+03  -,0723363  ,9961403 -,0497181
B   28  1 ,4200643E+06 -  7184160E-08  ,4915E+04 -,1713E+03  -,0314412  ,9981061 -,0528737
B   30  1 ,3215157E+06 -  2323905E-08  ,1106E+05 -,5222E+03  -,0266766  ,9883331 -,1499536
